Datum,SchulferienSH
2012-01-01, True
2012-01-02, True
2012-01-03, True
2012-01-04, True
2012-01-05, True
2012-01-06, True
2012-03-30, True
2012-03-30, True
2012-03-31, True
2012-04-01, True
2012-04-02, True
