Datum;Wochentag;Name;Art;Details
03.10.2020;Samstag;Tag der Deutschen Einheit;Nationaler Feiertag;
03.10.2020;Samstag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
04.10.2020;Sonntag;Erntedankfest;Fest- oder Gedenktag;
04.10.2020;Sonntag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
08.10.2020;Donnerstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
09.10.2020;Freitag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
10.10.2020;Samstag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
11.10.2020;Sonntag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
11.10.2020;Sonntag;Großelterntag;Fest- oder Gedenktag;Bayern
25.10.2020;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2020;Freitag;Weltspartag;Fest- oder Gedenktag;
31.10.2020;Samstag;Reformationstag;Regionaler Feiertag;BB, HB, HH, MVP, NDS, SH, SN, ST, TH
31.10.2020;Samstag;Reformationstag;Fest- oder Gedenktag, Christlich;Bremen, BW
31.10.2020;Samstag;Halloween;Fest- oder Gedenktag;
01.11.2020;Sonntag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
01.11.2020;Sonntag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
02.11.2020;Montag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2020;Montag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2020;Montag;9. November;Fest- oder Gedenktag;Berlin
09.11.2020;Montag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2020;Mittwoch;St. Martin;Fest- oder Gedenktag, Christlich;
15.11.2020;Sonntag;Volkstrauertag;Stiller Tag;
18.11.2020;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
18.11.2020;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
18.11.2020;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
22.11.2020;Sonntag;Totensonntag;Stiller Tag;
29.11.2020;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2020;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
06.12.2020;Sonntag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2020;Dienstag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
13.12.2020;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2020;Samstag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
20.12.2020;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
21.12.2020;Montag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2020;Donnerstag;Heiligabend;Stiller Tag;
25.12.2020;Freitag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2020;Samstag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2020;Donnerstag;Silvester;Bankfeiertag;
